שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
המעבדה שלנו,מתמללי בתי משפט,תמלול הקלטות/דיונים,תל אביב,03-6965856,,,,https://www.d.co.il/31248230/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
טופ טייפ,מתמללי בתי משפט,תמלול הקלטות/דיונים,תל אביב,072-3216448,,,,https://www.d.co.il/1569190/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
ברקן יהודית,מתמללי בתי משפט,תמלול הקלטות/דיונים,רעננה,09-7450812,,,,https://www.d.co.il/9637850/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תמליל טק,מתמללי בתי משפט,תמלול הקלטות/דיונים,,052-6378862,,,,https://www.d.co.il/80331778/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
יהודית אסרף תמלול,מתמללי בתי משפט,תמלול הקלטות/דיונים,בת ים,052-8991251,,,,https://www.d.co.il/80292116/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
רייטמי writeme,מתמללי בתי משפט,תמלול הקלטות/דיונים,אופקים,054-8498009,,,,https://www.d.co.il/80314303/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
SoundText שירותי תמלול,מתמללי בתי משפט,תמלול הקלטות/דיונים,,058-3264053,,,,https://www.d.co.il/80373026/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
מעוף שירותי תמלול,מתמללי בתי משפט,תמלול הקלטות/דיונים,באר שבע,050-8574140,,,,https://www.d.co.il/80212684/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
LIBI שירותי תמלול והקלדה,מתמללי בתי משפט,תמלול הקלטות/דיונים,ראש העין,052-3769212,,,,https://www.d.co.il/80300857/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
סמארט איי smart-i,מתמללי בתי משפט,תמלול הקלטות/דיונים,ירושלים,02-5860677,,,,https://www.d.co.il/80156208/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תמלילן,מתמללי בתי משפט,תמלול הקלטות/דיונים,אשקלון,08-6842740,,,,https://www.d.co.il/80044855/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
מזרחי דינה שירותי קלדנות,מתמללי בתי משפט,תמלול הקלטות/דיונים,יבנה,052-8459630,,,,https://www.d.co.il/80024583/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
ויינשטיין הדפסות ועיבוד תמלילים,מתמללי בתי משפט,תמלול הקלטות/דיונים,רמת השרון,03-5409671,,,,https://www.d.co.il/63579740/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תמלול online,מתמללי בתי משפט,תמלול הקלטות/דיונים,קיסריה,053-4341926,,,,https://www.d.co.il/80339951/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
DanaTranslators,מתמללי בתי משפט,תמלול הקלטות/דיונים,רמת גן,050-8836163,,,,https://www.d.co.il/80215321/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
ברוריה גפן הקלדה ותמלול,מתמללי בתי משפט,תמלול הקלטות/דיונים,בית אל,054-5940530,,,,https://www.d.co.il/80063602/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
מידר,מתמללי בתי משפט,תמלול הקלטות/דיונים,ירושלים,02-5335437,,,,https://www.d.co.il/32180700/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תמלול מעיין,מתמללי בתי משפט,תמלול הקלטות/דיונים,,054-7219125,,,,https://www.d.co.il/80324847/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
מהלא בני ומיכל,מתמללי בתי משפט,תמלול הקלטות/דיונים,מעלה מכמש,02-5352566,,,,https://www.d.co.il/29518040/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
מילה במילה,מתמללי בתי משפט,תמלול הקלטות/דיונים,,052-3596686,,,,https://www.d.co.il/80337170/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תמלול סנטר,מתמללי בתי משפט,תמלול הקלטות/דיונים,אשקלון,054-8196963,,,,https://www.d.co.il/80303800/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
יפה-שירותי תרגום; הקלדה ותמלול,מתמללי בתי משפט,תמלול הקלטות/דיונים,באר שבע,072-3267568,,,,https://www.d.co.il/80232556/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
B.T - שירותי תמלול,מתמללי בתי משפט,תמלול הקלטות/דיונים,דימונה,054-6615016,,,,https://www.d.co.il/80251070/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
TTT תמלול הקלדה ותרגום,מתמללי בתי משפט,תמלול הקלטות/דיונים,כפר סבא,052-3028391,,,,https://www.d.co.il/80212071/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
עידן אופיר תמלול ותרגום,מתמללי בתי משפט,תמלול הקלטות/דיונים,הוד השרון,072-3221679,,,,https://www.d.co.il/80125790/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תמלול איכותני שרי פרידלנדר,מתמללי בתי משפט,תמלול הקלטות/דיונים,נתניה,09-8650712,,,,https://www.d.co.il/80207675/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
תיקתוקיה נויה ספיבק,מתמללי בתי משפט,תמלול הקלטות/דיונים,הוד השרון,072-2594633,,,,https://www.d.co.il/80318269/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
"תל""י תדמית לעסקים",מתמללי בתי משפט,תמלול הקלטות/דיונים,פרדס חנה,052-4084949,,,,https://www.d.co.il/80178990/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
זגורי אורטל,מתמללי בתי משפט,תמלול הקלטות/דיונים,קרית שמונה,053-7253770,,,,https://www.d.co.il/80289093/25820/,,2026-07-19,שירות תמלול פורסם במדריך עסקי; התאמה ספציפית לדרישות הערכאה יש לאמת מול הספק
