שם מלא/שם עסק,קטגוריה,תת-התמחות,עיר,טלפון,אתר,אימייל פומבי,מספר רישיון/הסמכה,מקור המידע (URL),מקור רישוי/הסמכה (URL),תאריך בדיקה,סטטוס אימות/הערה
מסארווה סוהיל - שמאי מקרקעין ובוררות,בוררים,בוררות/יישוב סכסוכים,כפר קרע,050-7746068,,,,https://www.d.co.il/80015346/49080/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"אורית גליקין - משרד עו""ד, גישור ובוררות",בוררים,בוררות/יישוב סכסוכים,חדרה,077-2713347,,,,https://www.d.co.il/80221312/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"מלכה ליברנט, משרד עורכי דין, גישור ובוררות",בוררים,בוררות/יישוב סכסוכים,חדרה,072-3212707,,,,https://www.d.co.il/80180123/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
אומדנא המשכן לגישור בוררות,בוררים,בוררות/יישוב סכסוכים,,08-6564477,,,,https://www.d.co.il/80358812/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"גבו""ה מרכז גישור בוררות והדרכה",בוררים,בוררות/יישוב סכסוכים,זכרון יעקב,050-7207995,,,,https://www.d.co.il/80358112/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
מרכוס ציפי בוררות וגישור,בוררים,בוררות/יישוב סכסוכים,נהריה,050-2200038,,,,https://www.d.co.il/80167022/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"קהן דב-בוררות עפ""י התורה",בוררים,בוררות/יישוב סכסוכים,אשדוד,050-4150380,,,,https://www.d.co.il/80239421/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
רפי שרמן בוררות וגישור,בוררים,בוררות/יישוב סכסוכים,נהריה,050-7371476,,,,https://www.d.co.il/80167025/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
בית המגשר -גישור בוררות והדרכה,בוררים,בוררות/יישוב סכסוכים,נתניה,09-9744888,,,,https://www.d.co.il/80148401/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"מעוז ממן עו""ד בוררות וגישור",בוררים,בוררות/יישוב סכסוכים,,052-2550990,,,,https://www.d.co.il/80378589/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"מורן קוממי. בוררת, עו""ד ומגשרת",בוררים,בוררות/יישוב סכסוכים,,052-7404740,,,,https://www.d.co.il/80354742/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
אתי שמאי - מגשרת ובוררת,בוררים,בוררות/יישוב סכסוכים,קרית ביאליק,050-7754635,,,,https://www.d.co.il/80028222/9880/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"עו""ד; בוררת ומגשרת - אופירה גולומב",בוררים,בוררות/יישוב סכסוכים,תל אביב,03-6935310,,,,https://www.d.co.il/80183706/9010115/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"עו""ד בוררת ומגשרת כהן ורד",בוררים,בוררות/יישוב סכסוכים,הרצליה,053-2448210,,,,https://www.d.co.il/80301050/9010104/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"עו""ד ונוטריון פרדס משה",בוררים,בוררות/יישוב סכסוכים,ירושלים,077-7784688,,,,https://www.d.co.il/32686790/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
לנגה יעקב,בוררים,בוררות/יישוב סכסוכים,ירושלים,072-2598442,,,,https://www.d.co.il/12817650/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"הלוי צהלה-עו""ד ונוטריון, מגשרת מוסמכת",בוררים,בוררות/יישוב סכסוכים,פרדס חנה,072-3213711,,,,https://www.d.co.il/19466150/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
לביא נעים ושות – משרד עורכי דין,בוררים,בוררות/יישוב סכסוכים,,072-3211446,,,,https://www.d.co.il/80306142/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
מעודה יוסף עורך דין ונוטריון,בוררים,בוררות/יישוב סכסוכים,פרדס חנה,072-3258484,,,,https://www.d.co.il/80120333/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"אביטל חורף ושות', משרד עו""ד",בוררים,בוררות/יישוב סכסוכים,ירושלים,072-3234823,,,,https://www.d.co.il/80102629/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
"ברק אסף - משרד עו""ד ונוטריון",בוררים,בוררות/יישוב סכסוכים,פתח תקווה,072-3234727,,,,https://www.d.co.il/36507440/9010108/,https://www.engineering.org.il/pages/arbitrators_and_experts,2026-07-19,הספק מפרסם שירותי בוררות; הסמכה או חברות במאגר בוררים לא הותאמה אוטומטית
