claim_id,claim,source_url,source_type,confidence,publication_use
TAX-001,"The tax cluster mixes international tax, returning-resident, Tax Authority and real-estate-tax demand.","Local read-only GSC run: 2025-04-25_2026-08-25",first_party_data,HIGH,"Architecture decision; totals are dated through 2026-08-23"
TAX-002,"/tax-lawyer/ is live and has current search exposure.","Local page inventory and GSC page controls",first_party_data,HIGH,"Owner selection"
TAX-003,"Real-estate transaction declarations are generally due within 30 days.","https://www.gov.il/he/service/real-estate-tax-7000",government_primary,HIGH,"Process explanation; recheck at publication"
TAX-004,"Represented sellers file the declaration online through their lawyer.","https://www.gov.il/he/service/real-estate-tax-7000",government_primary,HIGH,"Explain professional role without saying representation is universally mandatory"
TAX-005,"Unrepresented people can submit an online declaration from 1 April 2025.","https://www.gov.il/he/service/corona-statment-of-real-estate-transaction",government_primary,HIGH,"Avoid misleading mandatory-lawyer claim"
TAX-006,"An objection to purchase/appreciation tax assessment can be filed within 30 days, subject to official conditions.","https://www.gov.il/he/service/real-estate-tax-7013",government_primary,HIGH,"Urgency path; do not personalize legal advice"
TAX-007,"The governing law is active and continued to receive 2026-linked updates.","https://main.knesset.gov.il/Activity/Legislation/Laws/pages/lawprimary.aspx?lawitemid=2001072",legislation_primary,HIGH,"Law source and review-date control"
TAX-008,"Tax pages need strong trust, authorship, expertise and source transparency because they affect financial stability.","https://developers.google.com/search/docs/fundamentals/creating-helpful-content",search_engine_primary,HIGH,"E-E-A-T implementation"
TAX-009,"Contextual crawlable internal links help discovery and page understanding.","https://developers.google.com/search/docs/crawling-indexing/links-crawlable",search_engine_primary,HIGH,"Pillar/spoke linking"
TAX-010,"AI-search visibility should be built with original expert utility, not query-variation pages.","https://developers.google.com/search/docs/fundamentals/ai-optimization-guide",search_engine_primary,HIGH,"Content consolidation and product utility"
TAX-011,"Provider SERPs combine explanation, proof, selection and action paths.","https://www.midrag.co.il/Content/Tip/12008",competitor_sample,MEDIUM,"SERP-format observation only"
TAX-012,"Interactive calculation plus transparent limitations is a differentiating utility pattern.","https://www.barkai-law.co.il/real-estate-tax-calculators/",competitor_sample,MEDIUM,"Product inspiration; verify all calculations independently"
