query,page,clicks,impressions,ctr,position,is_branded,is_money_keyword,is_criminal_law,is_family_law
אחוז הגירושין בישראל 2025,https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,56,831,6.74%,3.4,FALSE,FALSE,FALSE,TRUE
הלכת אלקצאצי,https://jus-tice.co.il/psakdin/%D7%94%D7%9C%D7%9B%D7%AA-%D7%90%D7%9C%D7%A7%D7%A6%D7%90%D7%A6%D7%99-%D7%9E%D7%A9%D7%9A-%D7%94%D7%94%D7%9E%D7%AA%D7%A0%D7%94-%D7%9E%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%94%D7%9C%D7%99%D7%9A-%D7%A4%D7%A9/,32,184,17.39%,2.4,FALSE,FALSE,FALSE,FALSE
הסכם גירושין ללא עורך דין להורדה,https://jus-tice.co.il/free-divorce-agreement-template/,32,815,3.93%,5.4,FALSE,TRUE,FALSE,TRUE
חוזה שכירות סטנדרטי 2025,https://jus-tice.co.il/online-rent-agreement/,29,386,7.51%,5.6,FALSE,FALSE,FALSE,FALSE
נוטריון ישראלי בניו יורק,https://jus-tice.co.il/notary-public-new-york/,26,162,16.05%,3.4,FALSE,FALSE,FALSE,FALSE
איתן בייקר עורך דין,https://jus-tice.co.il/baker-mckenzie/,22,211,10.43%,4.5,FALSE,TRUE,FALSE,FALSE
אביגיל ון קרפלד,https://jus-tice.co.il/%D7%92%D7%99%D7%9C%D7%95%D7%99-%D7%A0%D7%90%D7%95%D7%AA-%D7%97%D7%A1%D7%A8-%D7%A9%D7%A0%D7%A2%D7%A9%D7%94-%D7%91%D7%A2%D7%A1%D7%A7%D7%AA-%D7%9E%D7%9B%D7%A8-%D7%91%D7%A8%D7%A9%D7%AA-%D7%94%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%A0%D7%98/,21,308,6.82%,5.3,FALSE,FALSE,FALSE,FALSE
חיפוש עורך דין לפי שם,https://jus-tice.co.il/,21,3891,0.54%,9.3,FALSE,TRUE,FALSE,FALSE
כמה מרוויח עורך דין פלילי,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A9%D7%9B%D7%A8-%D7%9B%D7%9E%D7%94-%D7%9E%D7%A8%D7%95%D7%95%D7%99%D7%97-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C/,20,223,8.97%,1.7,FALSE,TRUE,TRUE,FALSE
רשות ניירות ערך בעלי תפקידים,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,20,171,11.70%,4.9,FALSE,FALSE,FALSE,FALSE
אביים ברקאי,https://jus-tice.co.il/%D7%AA%D7%91%D7%99%D7%A2%D7%AA-%D7%A9%D7%9B%D7%A8-%D7%98%D7%A8%D7%97%D7%94-%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9B%D7%A0%D7%92%D7%93-%D7%9C%D7%A7%D7%95%D7%97%D7%94/,19,1603,1.19%,4.3,FALSE,FALSE,FALSE,FALSE
פתיחת חשבון בנק בפורטוגל,https://jus-tice.co.il/bank-account-in-portugal/,19,157,12.10%,3.0,FALSE,FALSE,FALSE,FALSE
הילה גורביץ עובדיה,https://jus-tice.co.il/decision5987-10-16/,18,271,6.64%,4.8,FALSE,FALSE,FALSE,FALSE
ענת הלר כריש,https://jus-tice.co.il/30767-05-21/,18,454,3.96%,5.6,FALSE,FALSE,FALSE,FALSE
להב 433 הגשת תלונה,https://jus-tice.co.il/lahav-433/,17,440,3.86%,7.6,FALSE,FALSE,FALSE,FALSE
תוצרת כחול לבן טלגרם,https://jus-tice.co.il/53431-10-21/,17,2855,0.60%,8.8,FALSE,FALSE,FALSE,FALSE
דיוויד צ'סנוף,https://jus-tice.co.il/articles/%D7%93%D7%99%D7%95%D7%95%D7%99%D7%93-%D7%A6%D7%A1%D7%A0%D7%95%D7%A3-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-david-chesnoff/,16,53,30.19%,1.3,FALSE,FALSE,FALSE,FALSE
כתיבה משפטית,https://jus-tice.co.il/legal-writing/,16,309,5.18%,5.3,FALSE,FALSE,FALSE,FALSE
סוגי רופאים,https://jus-tice.co.il/%D7%A1%D7%95%D7%92%D7%99%D7%9D-%D7%A9%D7%95%D7%A0%D7%99%D7%9D-%D7%A9%D7%9C-%D7%A8%D7%95%D7%A4%D7%90%D7%99%D7%9D/,16,414,3.86%,4.2,FALSE,FALSE,FALSE,FALSE
סעיף כוח עליון דוגמא,https://jus-tice.co.il/force-majeure/,16,87,18.39%,1.0,FALSE,FALSE,FALSE,FALSE
שלי פרקש,https://jus-tice.co.il/%D7%A6%D7%95-%D7%9E%D7%A0%D7%99%D7%A2%D7%94-%D7%96%D7%9E%D7%A0%D7%99-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%93%D7%99%D7%A1%D7%A4%D7%95%D7%96%D7%99%D7%A6%D7%99%D7%94-%D7%91%D7%9E%D7%A0%D7%99%D7%95%D7%AA/,16,203,7.88%,3.4,FALSE,FALSE,FALSE,FALSE
חתימה על תצהיר בחינם,https://jus-tice.co.il/free-affidavit-sample/,14,471,2.97%,8.5,FALSE,FALSE,FALSE,FALSE
טופס 6 בקשה לסעד דחוף,https://jus-tice.co.il/form-6-request-urgent-relief-dispute-settlement/,14,304,4.61%,7.1,FALSE,FALSE,FALSE,FALSE
תביעה על מכירת רכב לא תקין,https://jus-tice.co.il/%D7%A8%D7%AA%D7%A7-38215-11-21-%D7%A9%D7%95%D7%A1%D7%98%D7%A8%D7%9E%D7%9F-%D7%A0-%D7%90%D7%9C%D7%91%D7%A8-%D7%A6%D7%99%D7%99-%D7%A8%D7%9B%D7%91/,14,407,3.44%,8.6,FALSE,FALSE,FALSE,FALSE
הצהרת אבהות ברבנות,https://jus-tice.co.il/%D7%94%D7%A6%D7%94%D7%A8%D7%AA-%D7%90%D7%91%D7%94%D7%95%D7%AA-%D7%91%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99/,13,39,33.33%,1.3,FALSE,FALSE,FALSE,FALSE
מרבד,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,13,6410,0.20%,9.5,FALSE,FALSE,FALSE,FALSE
ערר על החלטת קצין משטרה,https://jus-tice.co.il/psakdin/%D7%A2%D7%A8%D7%A2%D7%95%D7%A8-%D7%A2%D7%9C-%D7%94%D7%97%D7%9C%D7%98%D7%AA-%D7%A7%D7%A6%D7%99%D7%9F-%D7%91%D7%A0%D7%95%D7%A9%D7%90-%D7%9E%D7%A2%D7%A6%D7%A8-%D7%A1%D7%A2%D7%99%D7%A3-44-%D7%90-%D7%A9/,13,139,9.35%,4.0,FALSE,FALSE,TRUE,FALSE
תעודת יושר pdf,https://jus-tice.co.il/,12,53,22.64%,2.2,FALSE,FALSE,FALSE,FALSE
הסכם גירושין דוגמא doc,https://jus-tice.co.il/wp-content/uploads/2021/03/%D7%A0%D7%95%D7%A1%D7%97-%D7%94%D7%A1%D7%9B%D7%9D-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%93%D7%95%D7%92%D7%9E%D7%90-2021.docx,11,557,1.97%,10.4,FALSE,FALSE,FALSE,TRUE
עורך דין פלילי מחירון,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,11,731,1.50%,4.6,FALSE,TRUE,TRUE,FALSE
עורכי דין לפי התמחות,https://jus-tice.co.il/,11,844,1.30%,8.7,FALSE,TRUE,FALSE,FALSE
