page,current_clicks,previous_clicks,click_change,click_change_percent,current_impressions,previous_impressions,risk_level
https://jus-tice.co.il/wp-content/uploads/2023/03/attorney-list-december-2017-1.pdf,2,9,-7,-77.8%,486,354,HIGH_DROP
https://jus-tice.co.il/court-judge,0,7,-7,-100.0%,11,283,HIGH_DROP
https://jus-tice.co.il/wp-content/uploads/2023/03/attorney-list-july-updated-nov-2020-1.pdf,1,4,-3,-75.0%,274,204,MEDIUM_DROP
https://jus-tice.co.il,8,10,-2,-20.0%,1723,1504,MEDIUM_DROP
https://jus-tice.co.il/damages-claim-husband-ketubah-obligation,0,2,-2,-100.0%,20,63,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%97%d7%99%d7%a0%d7%95%d7%9a-%d7%94%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%91%d7%9e%d7%95%d7%a1%d7%93-%d7%a9%d7%9c-%d7%90%d7%99%d7%96%d7%94-%d7%96%d7%a8%d7%9d-%d7%93%d7%aa%d7%99-%d7%99%d7%aa%d7%97%d7%a0,0,2,-2,-100.0%,83,36,MEDIUM_DROP
https://jus-tice.co.il/united-arab-emirates-market-overview,0,2,-2,-100.0%,13,12,MEDIUM_DROP
https://jus-tice.co.il/%d7%91%d7%a7%d7%a9%d7%aa-%d7%a6%d7%95-%d7%94%d7%92%d7%a0%d7%94-%d7%9c%d7%9e%d7%a0%d7%99%d7%a2%d7%aa-%d7%90%d7%9c%d7%99%d7%9e%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%94%d7%98-61185-11-22,0,2,-2,-100.0%,0,14,MEDIUM_DROP
https://jus-tice.co.il/%d7%98%d7%99%d7%a4%d7%99%d7%9d-%d7%9c%d7%a2%d7%95%d7%93-%d7%9b%d7%99%d7%a6%d7%93-%d7%9c%d7%94%d7%9b%d7%a0%d7%a1-%d7%9c%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99%d7%9d-%d7%93%d7%99%d7%a8%d7%95%d7%92-%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%a2%d7%a2%d7%95%d7%9c%d7%9d,0,2,-2,-100.0%,0,22,MEDIUM_DROP
https://jus-tice.co.il/%d7%a4%d7%a1%d7%93-%d7%a9%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%95-%d7%9e%d7%99%d7%a0%d7%95%d7%99-%d7%9e%d7%a0%d7%94%d7%9c-%d7%a2%d7%99%d7%96%d7%91%d7%95%d7%9f-%d7%96%d7%9e%d7%a0%d7%99-%d7%91%d7%9e%d7%a7%d7%95%d7%9d-%d7%a7%d7%91%d7%95%d7%a2-%d7%a2%d7%9e%d7%a9-48305-12-21,0,2,-2,-100.0%,0,19,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%97%d7%99%d7%95%d7%91-%d7%a2%d7%95%d7%a8%d7%9b%d7%aa-%d7%93%d7%99%d7%9f-%d7%91%d7%a4%d7%99%d7%a6%d7%95%d7%99-%d7%9c%d7%a7%d7%95%d7%97%d7%95%d7%aa-%d7%91%d7%92%d7%99%d7%9f-%d7%90%d7%99-%d7%99%d7%99,0,2,-2,-100.0%,0,34,MEDIUM_DROP
https://jus-tice.co.il/psakdin/%d7%aa%d7%91%d7%99%d7%a2%d7%94-%d7%a9%d7%9c-%d7%9e%d7%9c%d7%a6%d7%a8%d7%99%d7%aa-%d7%94%d7%98%d7%a8%d7%93%d7%94-%d7%9e%d7%99%d7%a0%d7%99%d7%aa-300000-%d7%a9%d7%97-%d7%a4%d7%99%d7%a6%d7%95%d7%99,0,2,-2,-100.0%,0,30,MEDIUM_DROP
https://jus-tice.co.il/articles/%d7%a2%d7%a8%d7%a2%d7%95%d7%a8-%d7%a4%d7%9c%d7%99%d7%9c%d7%99-%d7%9e%d7%a1-50-31-%d7%91%d7%91%d7%99%d7%aa-%d7%94%d7%9e%d7%a9%d7%a4%d7%98-%d7%94%d7%a2%d7%9c%d7%99%d7%95%d7%9f-%d7%91%d7%a9%d7%91,1,2,-1,-50.0%,4,5,MEDIUM_DROP
https://jus-tice.co.il/wp-content/uploads/2023/03/%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%95%d7%a7%d7%99%d7%9d-2998.pdf,1,2,-1,-50.0%,27,23,MEDIUM_DROP
